id,intent,messy_type,risk_level,dimension,input,actual_output,policy_pass,policy_violations,policy_reason,latency_sec,retry_count,session_length_sec,customer_tier,refund_amount_requested,device_type,first_time_customer,score,tier,signals_fired,esc_verdict,esc_should,esc_did,esc_ctx,esc_reason,tone_verdict,tone_fails,tone_reason
94,sizing,,high,tone + information_gathering + escalation,I'm usually a women's 9 in Nikes — what SoleMates size should I get?,"I can help with that. Could you tell me which SoleMates shoe you're looking at â€” and if you've worn a similar style before, how did it fit (snug, roomy, or just right)?",True,,no policy tripwires fired,7.30,2,281,regular,0,desktop,False,39,should_review,"competitor_mention,message_length,retry_count",ACCEPTABLE,no,no,no,Routine sizing question the bot can handle; no escalation needed.,FAIL,"WARM,BRIEF","The generic ""I can help with that"" opener is IVR-like, and the response asks the customer to re-explain context (which shoe, prior fit) instead of using known info or giving a direct answer."
52,sizing,,high,tone + information_gathering + escalation,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm scared to order online again. What do you recommend?,I'm sorry you're dealing with that â€” finding a comfortable fit is so important. Could you tell me which SoleMates styles you've tried and where exactly they rub? That way I can suggest an alternative from our lineup with more room in the forefoot.,True,,no policy tripwires fired,6.55,2,243,new,0,desktop,True,36,should_review,"medical_keywords,message_length,retry_count",ACCEPTABLE,no,no,no,Routine product sizing/fit recommendation question the bot can handle.,FAIL,HONEST,"Bot references ""SoleMates styles you've tried"" and ""our lineup"" implying prior purchase history and specific product knowledge that may not be accurate."
1,return_in_policy,multi_intent,medium,policy_accuracy + information_gathering,I'd like to return order SM-39256 - wrong color and what about my other order SM-99999?,I'm sorry the color wasn't what you expected â€” let me look into that. Could you share what's going on with order SM-99999 so I can help?,True,,no policy tripwires fired,8.10,2,63,regular,102,mobile,False,36,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,no,no,no,"Routine return and order inquiry, bot correctly handles without escalation.",PASS,,"Acknowledges the return concern, asks for clarification on the second order without inventing details, and keeps the tone professional and brief."
35,billing_dispute,,high,escalation + tone + information_gathering,I think I was double-billed. Order SM-41385. Can you check?,I'm sorry you're dealing with this â€” that does sound concerning. Let me connect you with a teammate who can review the charges on order SM-41385.,True,,no policy tripwires fired,5.19,2,299,new,58,desktop,True,32,should_review,"message_length,retry_count",ACCEPTABLE,yes,yes,yes,Double-billing is a payment issue requiring human authority; bot escalated with order ID attached.,FAIL,BRIEF,The over-apologetic opening and hand-off without an actual check or timeline makes it wordier and less helpful than necessary.
40,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-80686 said free shipping,That sounds frustrating â€” being charged for shipping when you were promised free is no fun. Let me connect you with a teammate who can review the $50 shipping charge on order SM-80686.,True,,no policy tripwires fired,6.08,2,313,regular,77,mobile,True,32,should_review,"message_length,retry_count",ACCEPTABLE,yes,yes,yes,"Billing dispute over shipping charge requires human authority, bot escalated with order ID and issue context.",PASS,,"Acknowledges frustration warmly, keeps it brief, escalates honestly without inventing details, stays calm and respectful."
43,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-39451 said free shipping,I'm sorry you're dealing with a surprise shipping charge â€” that's frustrating. Let me connect you with a teammate who can review the $50 charge on order #SM-39451.,True,,no policy tripwires fired,5.39,3,377,new,73,desktop,False,32,should_review,"message_length,retry_count",ACCEPTABLE,yes,yes,yes,"Customer is disputing a $50 charge (payment-related, human-only authority), bot correctly escalated with the order number attached.",PASS,,"Acknowledges frustration, offers escalation without inventing policies or over-apologizing."
77,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-45697 said free shipping,I'm sorry you're dealing with a shipping charge that doesn't match your order confirmation â€” that's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-45697.,True,,no policy tripwires fired,5.74,2,347,vip,79,mobile,False,32,should_review,"message_length,retry_count",ACCEPTABLE,yes,yes,yes,Payment/charge dispute requires human authority; bot escalated with order number context.,FAIL,HONEST,"Bot doesn't acknowledge it lacks the tools/policy to verify the charge and instead defers, but more importantly doesn't honestly address the discrepancy itself; however the real failure is implying a "
16,return_in_policy,,medium,policy_accuracy + information_gathering,returning order SM-38785,"""I can help with that â€” could you let me know what's wrong with the order or whether you'd like a refund or an exchange?""",True,,no policy tripwires fired,5.80,2,132,vip,120,mobile,False,30,should_review,"refund_amount_high,retry_count",ACCEPTABLE,no,no,no,"Routine return request the bot can handle, no escalation needed.",PASS,,"Polite, concise ask for needed details without assuming or inventing policy."
63,return_in_policy,,medium,policy_accuracy + information_gathering,I'd like to return order SM-62923 - wrong color,I'd be happy to help with that return. Could you confirm when the order was delivered so I can check it against our 30-day return window?,True,,no policy tripwires fired,5.22,2,80,regular,181,desktop,False,30,should_review,"refund_amount_high,retry_count",ACCEPTABLE,no,no,yes,"Routine return request that the bot can handle, and it correctly attached the order context.",PASS,,"Friendly, concise, asks a relevant clarifying question without inventing details or mirroring any negativity."
65,return_in_policy,,medium,policy_accuracy + information_gathering,"Need to return shoes from order SM-96163, the size is off","I'd be happy to help with a return on order SM-96163. Can you confirm the order is within the 30-day return window, and let me know what's off about the size?",True,,no policy tripwires fired,4.96,2,134,regular,150,mobile,False,30,should_review,"refund_amount_high,retry_count",ACCEPTABLE,no,no,yes,"Routine return request the bot can handle, and it correctly asks for needed details.",FAIL,HONEST,"Bot invents a specific ""30-day return window"" policy without knowing if that policy exists."
