timestamp,latency_ms,tokens_input,tokens_output,cost_usd,quality_score,error
2026-08-02T01:20:00,865,1558,493,0.03037,3,True
2026-08-02T01:21:00,739,1692,362,0.02778,4,False
2026-08-02T01:22:00,725,271,215,0.00916,4,True
2026-08-02T01:23:00,1499,505,122,0.00871,4,False
2026-08-02T01:24:00,557,516,134,0.00918,1,True
2026-08-02T01:25:00,1470,722,162,0.01208,4,False
2026-08-02T01:26:00,695,868,367,0.01969,5,True
2026-08-02T01:27:00,1363,1973,34,0.02075,2,False
2026-08-02T01:28:00,1244,593,39,0.0071,2,True
2026-08-02T01:29:00,1723,1542,422,0.02808,3,False
2026-08-02T01:30:00,406,1230,117,0.01581,3,False
2026-08-02T01:31:00,771,53,286,0.00911,4,False
2026-08-02T01:32:00,3182,1423,120,0.01783,3,False
2026-08-02T01:33:00,153,1410,491,0.02883,3,False
2026-08-02T01:34:00,1168,665,279,0.01502,3,False
2026-08-02T01:35:00,279,874,376,0.02002,3,False
2026-08-02T01:36:00,50,1437,403,0.02646,4,False
2026-08-02T01:37:00,1255,666,227,0.01347,4,True
2026-08-02T01:38:00,702,1237,330,0.02227,4,False
2026-08-02T01:39:00,1212,955,365,0.0205,3,False
